URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender,ValueSet/fr-core-patient-gender-INS"
http://hl7.org/fhir/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.4.513",DaysOfWeek,DaysOfWeek,"The days of the week.","ValueSet/fr-core-availability-time-day,ValueSet/days-of-week"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.331",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","ValueSet/location-mode"
http://hl7.org/fhir/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.333",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","ValueSet/location-status"
http://hl7.org/fhir/name-use,4.0.1,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
http://hl7.org/fhir/slotstatus,4.0.1,draft,"2.16.840.1.113883.4.642.4.483",SlotStatus,SlotStatus,"The free/busy status of the slot.","ValueSet/slotstatus"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/fr-core-bp-method,ValueSet/fr-core-height-body-position"
http://terminology.hl7.org/CodeSystem/discharge-disposition,0.1.0,draft,"2.16.840.1.113883.4.642.1.1093",DischargeDisposition,Discharge disposition,"This value set defines a set of codes that can be used to where the patient left the hospital.","ValueSet/fr-core-encounter-discharge-disposition"
http://terminology.hl7.org/CodeSystem/name-assembly-order,0.1.0,draft,"2.16.840.1.113883.4.642.1.1266",HumanNameAssemblyOrder,HumanNameAssemblyOrder,"A code that represents the preferred display order of the components of a human name.","ValueSet/name-assembly-order"
http://terminology.hl7.org/CodeSystem/service-type,0.1.0,draft,"2.16.840.1.113883.4.642.1.1145",ServiceType,Service type,"This value set defines an example set of codes of service-types.","ValueSet/service-type"
http://terminology.hl7.org/CodeSystem/v2-0007,2.2.0,active,"2.16.840.1.113883.18.9",AdmissionType,admissionType,"Code system of concepts specifying the circumstances under which the patient was or will be admitted.  Used in HL7 Version 2.x messaging in the PV1 segment.","ValueSet/fr-core-encounter-type"
http://terminology.hl7.org/CodeSystem/v2-0131,2.1.0,active,"2.16.840.1.113883.18.58",ContactRole2,contactRole2,"Code system of concepts which specify a relationship role that the next of kin/associated parties plays with regard to the patient. Also used in referrals, for example, it may be necessary to identify the contact representative at the clinic that sent a referral. Used in HL7 Version 2 messaging in the NK1 and CTD segments after 2.5, when it replace 2.16.840.1.113883.18.57.","ValueSet/fr-core-contact-relationship,ValueSet/fr-core-related-person-role"
http://terminology.hl7.org/CodeSystem/v2-0203,3.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/fr-core-practitioner-identifier-type,ValueSet/fr-core-identifier-type-v1-0"
http://terminology.hl7.org/CodeSystem/v2-0444,2.1.0,active,"2.16.840.1.113883.18.284",NameAssemblyOrder,nameAssemblyOrder,"Code system of concepts specifying the preferred display order of the components of this person name.  Used in HL7 Version 2.x messaging in the PPN, XCN and XPN segments.","ValueSet/name-assembly-order"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,2.1.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/name-assembly-order"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-circonstances-sortie,2.0.0,draft,,FRCoreCodeSystemCirconstancesSortie,FR Core CodeSystem Circonstances Sortie,"Discharge Disposition","ValueSet/fr-core-encounter-discharge-disposition"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-contact-relationship,2.0.0,draft,,FRCoreCodeSystemContactRelationship,FR Core CodeSystem Contact Relationship,"Relationship","ValueSet/fr-core-contact-relationship"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-method-collection,2.0.0,draft,,FRCoreCodeSystemMethodCollection,FR Core CodeSystem Mode Validation Identite,"","ValueSet/fr-core-identity-method-collection"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-mode-validation-identity,2.0.0,draft,,FRCoreCodeSystemModeValidationIdentite,FR Core CodeSystem Mode Validation Identite,"","ValueSet/fr-core-vs-mode-validation-identity"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-location-identifier-type,2.0.0,draft,,FRCoreCodeSystemLocationIdentifierType,FR Core CodeSystem Location Identifier Type,"Location identifier type","ValueSet/fr-core-location-identifier-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-location-physical-type,2.0.0,draft,,FRCoreCodeSystemLocationPhysicalType,FR Core CodeSystem Location Physical Type,"Location physical type","ValueSet/fr-core-location-physical-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-location-position-room,2.0.0,draft,,FRCoreCodeSystemLocationPositionRoom,FR Core CodeSystem Location Position Room,"Location position room","ValueSet/fr-core-location-position-room"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-location-type,2.0.0,draft,,FRCoreCodeSystemLocationType,FR Core CodeSystem Location Type,"Location type","ValueSet/fr-core-location-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-schedule-type,2.0.0,draft,,FRCoreCodeSystemScheduleType,FR Core CodeSystem Schedule Type,"Schedule type","ValueSet/fr-core-schedule-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-type-admission,2.0.0,draft,,FRCoreCodeSystemTypeAdmission,FR Core CodeSystem Type Admission,"Admission type","ValueSet/fr-core-encounter-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-v2-0203,2.0.0,draft,,FRCoreCodeSystemv2_0203,FR Core CodeSystem v2-0203,"HL7 v2 - Identifier type","ValueSet/fr-core-organization-identifier-type,ValueSet/fr-core-practitioner-identifier-type,ValueSet/fr-core-identifier-type-v1-0"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-v2-0445,2.0.0,draft,,FRCoreCodeSystemv2_0445,FR Core CodeSystem v2-0445,"HL7 v2 - Table 0445","ValueSet/fr-core-identity-reliability"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-v2-3307,2.0.0,draft,,FRCoreCodeSystemv2_3307,FR Core CodeSystem v2-3307,"HL7 v2 - Table 3307","ValueSet/fr-core-core-organization-type"
