Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	43094	-	0	0	0	0	0	0	7	97	0	0	1	0	0	0	0	1	0	0	259	139	0	0	0	9	0	2
fsh-generated/resources/CodeSystem-fr-core-circonstances-sortie.json	962	7	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	15	1364	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-contact-relationship.json	5966	43	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	1	0	0	51	125	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-fiabilite-identite.json	2050	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	51	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-identifier-type.json	511	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-identity-method-collection.json	721	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	36	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-location-identifier-type.json	781	2	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-location-physical-type.json	1157	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-location-position-room.json	622	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-location-type.json	578	2	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	8	31	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-mode-validation-identite.json	1021	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-schedule-type.json	520	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-type-admission.json	539	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-type-organisation.json	1788	5	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	20	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-v2-0203.json	1733	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	16	35	0	0	0	0	0	0
