Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	42711	-	0	0	0	0	0	0	6	110	0	0	1	0	0	0	0	1	0	0	273	204	0	0	0	12	0	1
fsh-generated/resources/CodeSystem-fr-core-circonstances-sortie.json	961	5	1	0	1	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	25	2269	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-contact-relationship.json	5965	15	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	49	206	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-method-collection.json	698	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	11	72	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-mode-validation-identity.json	1026	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	114	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-fiabilite-identite.json	2287	5	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	1	0	19	87	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-identifier-type.json	510	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	79	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-location-identifier-type.json	780	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	68	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-location-physical-type.json	1156	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	13	76	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-location-position-room.json	621	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	38	0	0	0	0	0	0
