Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	42811	-	0	0	0	0	0	0	7	122	0	0	0	0	0	0	0	1	0	0	293	264	0	0	1	16	0	2
fsh-generated/resources/CodeSystem-fr-core-circonstances-sortie.json	962	6	1	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	19	2319	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-contact-relationship.json	5966	20	0	0	0	0	0	0	1	35	0	0	1	0	0	0	0	0	0	0	59	202	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-fiabilite-identite.json	2050	7	0	0	0	0	0	0	0	15	0	0	1	0	0	0	0	0	0	0	21	86	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-identifier-type.json	511	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	11	59	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-identity-method-collection.json	721	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	11	54	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-location-identifier-type.json	781	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	55	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-location-physical-type.json	1157	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	19	59	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-location-position-room.json	622	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	12	59	1	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-location-type.json	578	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	11	57	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-mode-validation-identite.json	1021	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	17	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-schedule-type.json	520	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	13	47	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-type-admission.json	539	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-type-organisation.json	1788	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	20	62	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-v2-0203.json	1733	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	28	50	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-v2-3311.json	845	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	13	52	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-address-insee-code.json	1856	5	0	0	0	0	0	24	1	49	0	0	0	0	0	0	0	0	0	0	52	750	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-address.json	1996	6	0	0	0	0	0	61	0	50	0	0	1	0	0	0	0	0	0	0	101	415	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-fr-core-appointment-operator.json	2715	6	0	0	0	0	0	35	0	65	0	0	0	0	0	0	0	0	0	0	70	259	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-appointment.json	4164	9	0	0	0	0	0	712	0	152	0	0	0	0	0	0	0	1	0	0	305	935	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-fr-core-comment.json	1819	5	0	0	0	0	0	23	0	20	0	0	0	0	0	0	0	0	0	0	54	199	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-contact-point-email-type.json	1886	6	0	0	0	0	0	22	0	19	0	0	0	0	0	0	0	1	0	0	53	141	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-contact-point.json	1469	5	0	0	0	0	0	40	0	34	0	0	1	0	0	0	0	0	0	0	73	218	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-encounter.json	12801	19	1	0	0	0	0	655	0	339	0	0	4	0	0	0	0	2	0	0	802	1303	0	0	0	18	0	2
fsh-generated/resources/StructureDefinition-fr-core-estimated-discharge-date.json	1593	5	0	0	0	0	0	22	0	19	0	0	1	0	0	0	0	0	0	0	48	132	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-healthcare-service.json	4449	9	0	0	1	0	0	241	0	251	0	0	0	0	0	0	0	1	0	0	381	687	0	1	0	10	1	13
fsh-generated/resources/StructureDefinition-fr-core-human-name-assembly-order.json	2100	6	0	0	0	0	0	26	0	43	0	0	0	0	0	1	0	0	0	0	50	154	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-human-name.json	2451	6	0	0	0	0	0	41	0	40	0	0	0	0	0	0	0	0	0	0	88	214	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-ident-reliability.json	4197	10	0	0	0	0	0	58	0	63	0	0	0	0	0	0	0	0	0	0	142	237	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-fr-core-location-position-room.json	1727	5	0	0	0	0	0	21	0	19	0	0	0	0	0	0	0	1	0	0	50	116	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-location.json	6417	13	0	0	0	0	0	158	0	173	0	0	0	0	0	0	0	1	0	0	380	606	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-fr-core-lunar-date.json	1642	5	0	0	0	0	0	18	0	19	0	0	0	0	0	0	0	0	0	0	48	116	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-fr-core-medication-administration-inhaled-oxygen.json	3834	8	0	0	0	0	0	237	0	179	0	0	0	0	0	0	0	1	0	0	550	676	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-fr-core-nationality.json	1313	5	0	0	0	0	0	49	0	46	0	0	0	0	0	0	0	0	0	0	92	172	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-bmi.json	4108	8	1	0	0	0	0	447	0	281	0	0	0	0	0	0	0	2	0	0	523	1105	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-height.json	4795	11	0	0	0	0	0	311	0	278	0	0	0	0	0	0	0	1	0	0	536	947	0	1	0	15	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-position-ext.json	2378	5	0	0	0	0	0	18	0	19	0	0	0	0	0	0	0	0	0	0	54	101	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-body-temperature.json	4846	10	0	0	0	0	0	314	0	281	0	0	1	0	0	0	0	2	0	0	530	1259	0	0	0	14	1	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-weight.json	4350	10	0	0	0	0	0	377	0	343	0	0	0	0	0	0	0	2	0	0	538	855	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-bp.json	7202	14	0	0	0	0	0	542	1	497	0	0	0	0	0	0	0	3	0	0	912	1677	0	0	0	25	0	2
fsh-generated/resources/StructureDefinition-fr-core-observation-head-circum.json	4087	8	0	0	0	0	0	303	0	276	0	0	0	0	0	0	0	1	0	0	538	852	0	0	0	15	1	9
fsh-generated/resources/StructureDefinition-fr-core-observation-heartrate.json	6074	13	0	0	0	0	0	335	0	367	0	0	0	0	0	0	0	2	0	0	611	1149	0	0	0	17	0	1
