Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	45569	-	0	0	0	0	0	0	5	88	0	0	0	0	0	0	0	2	0	0	322	275	0	0	0	13	0	2
fsh-generated/resources/CodeSystem-fr-core-cs-circonstances-sortie.json	1549	5	1	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	22	1610	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-contact-relationship.json	6081	16	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	52	131	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-fiabilite-identite.json	2427	6	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	29	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-identifier-type.json	650	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	44	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-identifier-type.json	920	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-physical-type.json	1296	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	47	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-position-room.json	761	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	45	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-type.json	1376	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	17	43	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-marital-status.json	572	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-method-collection.json	890	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-mode-validation-identity.json	1286	4	1	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	16	38	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-schedule-type.json	659	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	22	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-type-admission.json	678	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	37	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-type-organisation.json	1902	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	54	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-0203.json	1872	5	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	24	41	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-0445.json	2148	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-3307.json	1784	4	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	25	29	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-3311.json	984	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	29	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-address-insee-code.json	1859	4	0	0	0	0	0	16	1	30	0	0	0	0	0	0	0	0	0	0	67	470	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-address.json	1996	7	0	0	0	0	0	39	0	33	0	0	0	0	0	0	0	1	0	0	102	310	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-fr-core-appointment-operator.json	2715	3	0	0	0	0	0	37	0	40	0	0	0	0	0	0	0	0	0	0	114	163	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-appointment.json	4167	5	0	0	0	0	0	559	0	128	0	0	0	0	0	0	0	1	0	0	317	622	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-fr-core-comment.json	1819	4	0	0	0	0	0	29	0	14	0	0	0	0	0	0	0	0	0	0	68	146	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-contact-point-email-type.json	1889	3	0	0	0	0	0	18	0	15	0	0	0	0	0	0	0	0	0	0	71	115	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-contact-point.json	1469	3	0	0	0	0	0	25	0	23	0	0	0	0	0	0	0	0	0	0	73	168	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-encounter.json	12407	12	0	0	0	0	0	435	0	226	0	0	1	0	0	0	0	2	0	0	707	795	0	1	0	17	0	1
fsh-generated/resources/StructureDefinition-fr-core-estimated-discharge-date.json	1593	3	0	0	0	0	0	28	0	13	0	0	0	0	0	0	0	0	0	0	50	86	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-healthcare-service.json	4452	5	0	0	0	0	0	195	0	118	0	0	0	0	0	0	0	2	0	0	378	384	0	0	0	9	0	0
fsh-generated/resources/StructureDefinition-fr-core-human-name-assembly-order.json	2100	4	0	0	0	0	0	22	0	58	0	0	0	0	0	0	0	0	0	0	52	73	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-human-name.json	2451	3	1	0	0	0	0	42	0	29	0	0	0	0	0	0	0	0	0	0	88	103	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-identity-reliability.json	6698	8	0	0	0	0	0	65	0	56	0	0	0	0	0	0	0	1	0	0	218	164	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-fr-core-location-position-room.json	1730	3	0	0	0	0	0	11	0	13	0	0	0	0	0	0	0	0	0	0	52	71	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-location.json	6549	8	0	0	0	0	0	110	0	112	0	0	0	0	0	0	0	1	0	0	378	408	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-fr-core-lunar-date.json	1642	4	0	0	0	0	0	12	0	12	1	0	0	0	0	0	0	0	0	0	47	91	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-medication-administration-inhaled-oxygen.json	3834	5	0	0	0	0	0	129	0	116	0	0	0	0	0	0	0	1	0	0	349	338	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-bmi.json	4226	8	0	0	0	0	0	196	0	181	0	0	0	0	0	0	0	2	0	0	512	651	0	0	0	14	1	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-height.json	4913	9	0	0	0	0	0	373	0	253	0	0	1	0	0	0	0	2	0	0	525	834	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-position-ext.json	2342	3	0	0	0	0	0	11	0	48	0	0	0	0	0	0	0	0	0	0	60	67	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-body-temperature.json	4928	6	0	0	0	0	0	224	0	248	0	0	0	0	0	0	0	2	0	0	527	780	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-weight.json	4470	6	0	0	0	0	0	226	0	218	0	0	0	0	0	0	0	2	0	0	519	769	0	0	0	14	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-bp.json	7621	10	0	0	0	0	0	389	0	429	0	0	0	0	0	0	0	3	0	0	956	1095	0	0	0	23	1	2
fsh-generated/resources/StructureDefinition-fr-core-observation-head-circum.json	4205	5	0	0	1	0	0	253	0	194	0	0	0	0	0	0	0	2	0	0	539	456	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-heartrate.json	6124	8	1	0	0	0	0	214	0	449	0	0	1	0	0	0	0	2	0	0	586	735	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-height-body-position.json	2264	4	0	0	0	0	0	10	0	13	0	0	0	0	0	0	0	0	0	0	52	63	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-level-of-exertion.json	2358	4	0	0	0	0	0	10	0	11	0	0	0	0	0	0	0	0	0	0	52	69	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-resp-rate.json	5364	7	0	0	0	0	0	196	0	219	0	0	0	0	0	0	0	2	0	0	535	604	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-saturation-oxygen.json	6520	6	0	0	0	0	0	206	1	224	0	0	0	0	0	0	0	2	0	0	561	503	0	0	0	25	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-activity-field.json	1727	4	0	0	0	0	0	11	0	12	0	0	0	0	0	0	0	0	0	0	49	63	0	1	1	1	0	1
fsh-generated/resources/StructureDefinition-fr-core-organization-activity-type.json	1543	3	0	0	0	0	0	11	0	12	0	0	0	0	0	0	0	0	0	0	46	55	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-fr-core-organization-analysis-section.json	1571	3	0	0	0	0	0	10	0	11	0	0	0	0	0	0	0	0	0	0	46	53	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-applicant-act.json	1548	2	0	0	0	0	0	11	0	11	0	0	0	0	0	0	0	0	0	0	46	56	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-budget-letter.json	1545	3	0	0	0	0	0	10	0	12	0	0	0	0	0	0	0	0	0	0	48	53	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-description.json	1371	3	0	0	0	0	0	10	0	11	0	0	0	0	0	0	0	0	0	0	47	57	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-executant.json	1523	3	0	0	0	0	0	11	0	12	0	0	0	0	0	0	0	1	0	0	47	75	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-external.json	1525	3	0	0	0	0	0	10	0	11	0	0	0	0	0	0	0	0	0	0	47	78	0	0	0	2	0	0
