Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	41923	-	0	0	0	0	0	0	5	109	0	0	1	0	0	0	0	1	0	0	339	285	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-fr-core-schedule-availability-time.json	22827	28	0	0	0	0	0	302	0	409	0	0	1	0	0	0	0	2	0	0	694	2512	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-fr-core-role-code-categorie-professionnelle.json	3343	4	0	0	0	0	0	33	0	34	0	0	0	0	0	0	0	0	0	0	71	196	0	0	0	2	0	2
fsh-generated/resources/ValueSet-fr-core-schedule-type.json	1204	3	1	0	0	0	0	0	1	523	0	0	0	0	0	0	0	0	0	0	11	5557	0	0	0	0	0	0
fsh-generated/resources/ValueSet-fr-core-civility-exercice-rass.json	917	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	525	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-resp-rate.json	5261	7	0	0	0	0	0	887	0	206	0	0	0	0	0	0	0	3	0	0	457	1253	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-fr-core-address-insee-code.json	1853	3	0	0	0	0	0	20	0	16	0	0	0	0	0	0	0	0	0	0	42	133	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-fr-core-contact-point.json	1467	4	0	0	0	0	0	28	0	25	0	0	0	0	0	0	0	0	0	0	60	188	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-encounter.json	12145	12	0	0	0	0	0	233	0	247	0	0	0	0	0	0	0	3	0	0	555	1139	0	0	0	13	1	1
fsh-generated/resources/ValueSet-fr-core-title.json	843	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	476	0	0	0	0	0	0
