URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-circonstances-sortie,2.0.0,draft,,FRCoreCodeSystemCirconstancesSortie,FR Core CodeSystem Circonstances Sortie,"Discharge Disposition",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-contact-relationship,2.0.0,draft,,FRCoreCodeSystemContactRelationship,FR Core CodeSystem Contact Relationship,"Relationship",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-fiabilite-identite,2.0.0,draft,"2.16.840.1.113883.12.445",FRCoreCodeSystemReliabilityIdentity,FR Core CodeSystem Fiabilité Identité,"This code system  includes all the French Identity reliabilty codes (InteropSanté).",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-identifier-type,2.0.0,draft,,FRCoreCodeSystemIdentifierType,FR Core CodeSystem Identifier Type,"Identifier type",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-identity-method-collection,2.0.0,draft,,FRCoreCodeSystemIdentityMethodCollection,FR Core CodeSystem Identity Method Collection,"",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-location-identifier-type,2.0.0,draft,,FRCoreCodeSystemLocationIdentifierType,FR Core CodeSystem Location Identifier Type,"Location identifier type",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-location-physical-type,2.0.0,draft,,FRCoreCodeSystemLocationPhysicalType,FR Core CodeSystem Location Physical Type,"Location physical type",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-location-position-room,2.0.0,draft,,FRCoreCodeSystemLocationPositionRoom,FR Core CodeSystem Location Position Room,"Location position room",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-location-type,2.0.0,draft,,FRCoreCodeSystemLocationType,FR Core CodeSystem Location Type,"Location type",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-mode-validation-identite,2.0.0,draft,,FRCoreCodeSystemModeValidationIdentite,FR Core CodeSystem Mode Validation Identite,"",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-schedule-type,2.0.0,draft,,FRCoreCodeSystemScheduleType,FR Core CodeSystem Schedule Type,"Schedule type",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-type-admission,2.0.0,draft,,FRCoreCodeSystemTypeAdmission,FR Core CodeSystem Type Admission,"Admission type",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-type-organisation,2.0.0,draft,,FRCoreCodeSystemTypesOrganisations,FR Core CodeSystem Types d'Organisations,"This is an example code system that includes all the InteropSanté Organizations types codes.",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-v2-0203,2.0.0,draft,,FRCoreCodeSystemv2_0203,FR Core CodeSystem v2-0203,"HL7 v2 - Identifier type",
http://hl7.fr/ig/fhir/core/CodeSystem/fr-core-v2-3311,2.0.0,draft,,FRCoreCodeSystemv2_3311,FR Core CodeSystem v2-3311,"HL7 v2 - Table 3311",
