Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	48407	-	0	0	0	0	0	0	7	39	0	0	0	0	0	0	0	1	0	0	228	323	0	0	0	11	0	1
fsh-generated/resources/Appointment-FRCoreAppointmentExample.json	1941	6	0	0	0	1	0	0	0	269	0	0	0	0	0	0	0	1	0	0	18	43	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-circonstances-sortie.json	1549	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	1783	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-contact-relationship.json	6081	6	0	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	47	110	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-fiabilite-identite.json	2428	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	22	59	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-identifier-type.json	650	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-identifier-type.json	920	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-physical-type.json	1296	4	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	13	44	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-position-room.json	761	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-type.json	1376	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-marital-status.json	572	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-method-collection.json	891	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	34	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-mode-validation-identity.json	1287	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	16	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-schedule-type.json	659	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	10	32	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-type-admission.json	678	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	13	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-type-organisation.json	1902	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	17	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-0203.json	1872	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-0445.json	2148	3	0	0	0	0	0	0	1	5	0	0	1	0	0	0	0	0	0	0	25	39	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-3307.json	1784	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	40	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-3311.json	984	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	31	0	0	0	1	0	0
fsh-generated/resources/Encounter-FRCoreEncounterExample.json	865	4	0	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	0	0	8	15	0	0	0	0	0	0
fsh-generated/resources/Observation-FRCoreObservationBMIExample.json	1165	3	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	12	18	0	0	0	0	0	0
fsh-generated/resources/Observation-FRCoreObservationBPExample.json	2610	4	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	20	15	0	0	0	0	0	0
fsh-generated/resources/Observation-FRCoreObservationBodyHeightExample.json	913	3	0	0	0	0	0	0	1	96	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/Observation-FRCoreObservationBodyTemperatureExample.json	947	4	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/Observation-FRCoreObservationBodyWeightExample.json	1112	4	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0
fsh-generated/resources/Observation-FRCoreObservationHeadCircumExample.json	935	3	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0
fsh-generated/resources/Observation-FRCoreObservationHeartRateExample.json	949	4	0	0	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/Patient-ExamplefrCorePatient001.json	2383	4	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
fsh-generated/resources/Schedule-FRCoreScheduleExample.json	2365	4	1	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	15	15	0	0	0	0	0	0
fsh-generated/resources/Slot-FRCoreSlotExample.json	965	3	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	1
fsh-generated/resources/StructureDefinition-fr-core-address-insee-code.json	1741	4	0	0	0	0	0	10	1	18	0	0	0	0	0	0	0	0	0	0	58	514	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-address.json	1557	3	0	0	0	0	0	25	0	7	0	0	0	0	0	0	0	1	0	0	87	359	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-appointment-operator.json	2597	4	0	0	0	0	0	21	0	29	0	0	0	0	0	0	0	0	0	0	67	189	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-appointment.json	3601	4	0	0	0	0	0	392	0	15	0	0	0	0	0	0	0	1	0	0	263	490	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-fr-core-comment.json	1701	3	0	0	0	0	0	13	0	5	0	0	0	0	0	0	0	0	0	0	49	118	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-contact-point-email-type.json	1771	4	0	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0	0	0	62	106	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-contact-point.json	1136	3	0	0	0	0	0	14	0	6	0	0	0	0	0	0	0	0	0	0	69	153	0	0	0	2	0	2
fsh-generated/resources/StructureDefinition-fr-core-encounter.json	11947	5	0	0	0	0	0	72	0	46	0	0	1	0	0	0	0	2	0	0	636	838	0	0	0	16	1	0
fsh-generated/resources/StructureDefinition-fr-core-estimated-discharge-date.json	1475	3	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	0	0	0	62	76	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-healthcare-service.json	3946	4	0	0	0	0	0	24	0	17	0	0	0	0	0	0	0	1	0	0	375	597	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-fr-core-human-name-assembly-order.json	1982	4	0	0	0	0	0	11	0	20	0	0	0	0	0	0	0	1	0	0	59	97	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-human-name.json	2118	3	0	0	0	0	0	12	0	10	0	0	0	0	0	0	0	0	0	0	81	142	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-identity-reliability.json	6580	4	1	0	0	0	0	16	0	15	0	0	0	0	0	0	0	0	0	0	200	218	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-fr-core-location-position-room.json	1612	4	0	0	0	0	0	12	0	5	0	0	0	0	0	0	0	0	0	0	48	66	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-location.json	6312	4	0	0	0	0	0	22	0	19	0	0	0	0	0	0	0	2	0	0	354	294	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-fr-core-lunar-date.json	1524	4	0	0	0	0	0	10	0	5	0	0	0	0	0	0	0	0	0	0	46	68	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-medication-administration-inhaled-oxygen.json	3264	4	0	0	0	0	0	46	0	16	0	0	0	0	0	0	0	1	0	0	318	299	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-bmi.json	3484	4	0	0	0	0	0	62	0	24	0	0	0	0	0	0	0	2	0	0	459	551	0	1	0	11	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-height.json	4171	3	0	0	0	0	0	44	0	90	0	0	1	0	0	0	0	2	0	0	476	541	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-position-ext.json	2224	4	0	0	0	0	0	5	0	47	0	0	0	0	0	0	0	0	0	0	50	83	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-body-temperature.json	4186	4	0	0	0	0	0	47	0	91	0	0	0	0	0	0	0	2	0	0	473	473	0	0	0	9	1	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-weight.json	3728	4	0	0	0	0	0	86	1	66	0	0	0	0	0	0	0	2	0	0	465	469	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-bp.json	6879	4	0	0	0	0	0	71	0	146	0	0	0	0	0	0	0	3	0	0	829	850	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-head-circum.json	3463	4	0	0	0	0	0	38	0	22	0	0	0	0	0	0	0	2	0	0	461	430	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-heartrate.json	5382	4	1	0	0	0	0	41	0	221	0	0	1	0	0	0	0	2	0	0	527	467	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-height-body-position.json	2146	4	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	50	110	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-level-of-exertion.json	2240	3	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	51	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-resp-rate.json	4622	4	0	0	0	0	0	37	0	68	0	0	0	0	0	0	0	2	0	0	484	432	0	0	0	9	1	1
fsh-generated/resources/StructureDefinition-fr-core-observation-saturation-oxygen.json	5778	5	0	0	0	0	0	40	0	75	0	0	0	0	0	0	0	2	0	0	526	436	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-fr-core-organization-activity-field.json	1609	3	1	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	48	55	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-activity-type.json	1425	4	0	0	0	0	0	6	0	86	0	0	0	0	0	0	0	0	0	0	45	56	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-analysis-section.json	1453	3	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	45	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-applicant-act.json	1430	4	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	45	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-budget-letter.json	1427	3	0	0	0	0	0	6	0	5	0	0	0	0	0	0	0	0	0	0	45	54	0	0	0	0	0	0
