Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	45569	-	0	0	0	0	0	0	7	87	0	0	1	0	0	0	0	1	0	0	279	303	0	0	0	10	0	1
fsh-generated/resources/CodeSystem-fr-core-cs-circonstances-sortie.json	1549	5	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	17	1413	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-contact-relationship.json	6081	17	1	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	50	116	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-fiabilite-identite.json	2427	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	51	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-identifier-type.json	650	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	8	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-identifier-type.json	920	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-physical-type.json	1296	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-position-room.json	761	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	32	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-type.json	1376	5	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	14	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-marital-status.json	572	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-method-collection.json	890	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	14	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-mode-validation-identity.json	1286	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	24	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-schedule-type.json	659	3	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-type-admission.json	678	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-type-organisation.json	1902	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-0203.json	1872	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	19	27	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-0445.json	2148	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-3307.json	1784	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	16	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-3311.json	984	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	12	34	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-address-insee-code.json	1859	4	0	0	0	0	0	17	0	27	0	0	1	0	0	0	0	1	0	0	51	479	0	0	0	3	1	1
fsh-generated/resources/StructureDefinition-fr-core-address.json	1996	6	0	0	0	0	0	43	0	49	0	0	0	0	0	0	0	0	0	0	115	351	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-appointment-operator.json	2715	5	0	0	0	0	0	21	0	49	0	0	0	0	0	0	0	0	0	0	74	207	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-appointment.json	4167	6	0	0	0	0	0	443	0	101	0	0	0	0	0	1	0	1	0	0	298	654	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-fr-core-comment.json	1819	3	0	0	0	0	0	24	0	12	0	0	0	0	0	0	0	0	0	0	49	162	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-contact-point-email-type.json	1889	3	1	0	0	0	0	16	0	17	0	0	0	0	0	0	0	0	0	0	50	143	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-contact-point.json	1469	4	0	0	0	0	0	28	0	24	0	0	0	0	0	0	0	0	0	0	69	189	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-encounter.json	12407	12	0	0	0	0	0	283	0	262	0	0	0	0	0	0	0	2	0	0	709	992	0	0	0	14	0	2
fsh-generated/resources/StructureDefinition-fr-core-estimated-discharge-date.json	1593	3	0	0	0	0	0	18	0	13	0	0	0	0	0	0	0	1	0	0	65	154	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-healthcare-service.json	4452	6	0	0	0	0	0	196	0	114	0	0	0	0	0	0	0	1	0	0	394	537	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-fr-core-human-name-assembly-order.json	2100	3	0	0	0	0	0	12	0	24	0	0	0	0	0	0	0	0	0	0	98	97	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-human-name.json	2451	4	0	0	0	0	0	27	0	27	0	0	0	0	0	0	0	0	0	0	85	140	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-identity-reliability.json	6698	9	0	0	0	0	0	86	0	53	0	0	0	0	0	0	0	0	0	0	215	234	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-fr-core-location-position-room.json	1730	3	0	0	0	0	0	15	0	12	0	0	1	0	0	0	0	1	0	0	49	84	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-location.json	6549	8	0	0	0	0	0	185	0	110	0	0	0	0	0	0	0	1	0	0	382	474	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-fr-core-lunar-date.json	1642	4	1	0	0	0	0	20	0	12	0	0	0	0	0	0	0	0	0	0	47	86	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-medication-administration-inhaled-oxygen.json	3834	5	0	0	0	0	0	224	1	110	0	0	0	0	0	0	0	1	0	0	362	455	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-bmi.json	4226	5	0	0	0	0	0	246	0	183	0	0	0	0	0	0	0	2	0	0	516	941	0	0	0	9	1	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-height.json	4913	7	0	0	0	0	0	193	0	262	0	0	0	0	0	0	0	2	0	0	533	758	0	1	0	9	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-position-ext.json	2342	3	0	0	0	0	0	11	0	60	0	0	0	0	0	0	0	0	0	0	52	83	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-temperature.json	4928	7	0	0	0	0	0	202	0	236	0	0	0	0	0	0	0	2	0	0	543	586	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-weight.json	4470	6	0	0	0	0	0	224	0	239	0	0	1	0	0	0	0	1	0	0	525	478	0	0	0	15	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-bp.json	7621	9	0	0	0	0	0	467	0	453	0	0	0	0	0	0	0	4	0	0	935	873	0	0	0	22	1	3
fsh-generated/resources/StructureDefinition-fr-core-observation-head-circum.json	4205	6	1	0	0	0	0	188	0	174	0	0	0	0	0	0	0	2	0	0	518	451	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-heartrate.json	6124	7	0	0	0	0	0	256	0	384	0	0	0	0	0	0	0	2	0	0	591	516	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-height-body-position.json	2264	4	0	0	0	0	0	10	0	12	0	0	0	0	0	0	0	0	0	0	52	59	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-level-of-exertion.json	2358	3	0	0	0	0	0	9	0	11	0	0	0	0	0	0	0	0	0	0	50	56	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-resp-rate.json	5364	6	0	0	0	0	0	213	0	255	0	0	1	0	0	0	0	2	0	0	586	437	0	0	0	9	0	2
fsh-generated/resources/StructureDefinition-fr-core-observation-saturation-oxygen.json	6520	7	0	0	0	0	0	222	1	240	0	0	0	0	0	0	0	2	0	0	566	453	0	0	0	10	1	1
fsh-generated/resources/StructureDefinition-fr-core-organization-activity-field.json	1727	3	0	0	0	0	0	12	0	12	0	0	0	0	0	0	0	0	0	0	49	55	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-activity-type.json	1543	4	0	0	0	0	0	10	0	11	0	0	0	0	0	0	0	0	0	0	48	59	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-analysis-section.json	1571	3	0	0	0	0	0	10	0	11	0	0	0	0	0	0	0	0	0	0	50	84	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-applicant-act.json	1548	3	1	0	0	0	0	9	0	11	0	0	0	0	0	0	0	0	0	0	48	53	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-budget-letter.json	1545	3	0	0	0	0	0	10	0	11	0	0	0	0	0	0	0	0	0	0	47	60	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-organization-description.json	1371	3	0	0	0	0	0	9	0	11	0	0	0	0	0	0	0	0	0	0	46	60	0	0	0	0	0	1
