URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender,ValueSet/fr-core-patient-gender-INS"
http://hl7.org/fhir/days-of-week,4.0.1,active,"2.16.840.1.113883.4.642.4.513",DaysOfWeek,DaysOfWeek,"The days of the week.","ValueSet/fr-core-availability-time-day,ValueSet/days-of-week"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.331",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","ValueSet/location-mode"
http://hl7.org/fhir/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.333",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","ValueSet/location-status"
http://hl7.org/fhir/name-use,4.0.1,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
http://hl7.org/fhir/slotstatus,4.0.1,draft,"2.16.840.1.113883.4.642.4.483",SlotStatus,SlotStatus,"The free/busy status of the slot.","ValueSet/slotstatus"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/fr-core-bp-method"
http://terminology.hl7.org/CodeSystem/name-assembly-order,0.1.0,draft,"2.16.840.1.113883.4.642.1.1266",HumanNameAssemblyOrder,HumanNameAssemblyOrder,"A code that represents the preferred display order of the components of a human name.","ValueSet/name-assembly-order"
http://terminology.hl7.org/CodeSystem/service-type,0.1.0,draft,"2.16.840.1.113883.4.642.1.1145",ServiceType,Service type,"This value set defines an example set of codes of service-types.","ValueSet/service-type"
http://terminology.hl7.org/CodeSystem/v2-0203,3.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/fr-core-practitioner-identifier-type,ValueSet/fr-core-identifier-type-v1-0"
http://terminology.hl7.org/CodeSystem/v2-0444,2.1.0,active,"2.16.840.1.113883.18.284",NameAssemblyOrder,nameAssemblyOrder,"Code system of concepts specifying the preferred display order of the components of this person name.  Used in HL7 Version 2.x messaging in the PPN, XCN and XPN segments.","ValueSet/name-assembly-order"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,2.1.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/name-assembly-order"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-contact-relationship,2.0.0,draft,,FRCoreCodeSystemContactRelationship,FR Core CodeSystem Contact Relationship,"Relationship","ValueSet/fr-core-contact-relationship"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-v2-0203,2.0.0,draft,,FRCoreCodeSystemv2_0203,FR Core CodeSystem v2-0203,"HL7 v2 - Identifier type","ValueSet/fr-core-organization-identifier-type,ValueSet/fr-core-practitioner-identifier-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-v2-3311,2.0.0,draft,,FRCoreCodeSystemv2_3311,FR Core CodeSystem v2-3311,"HL7 v2 - Table 3311","ValueSet/fr-core-organization-uf-activity-field"
