Name                                                                Type        File
FRCoreAddressInseeCodeExtension                                     Extension   extensions/FRCoreAddressInseeCodeExtension.fsh
FRCoreAddressProfile                                                Profile     profiles/FRCoreAddressProfile.fsh
FRCoreAppointmentOperatorExtension                                  Extension   extensions/FRCoreAppointmentOperatorExtension.fsh
FRCoreAppointmentProfile                                            Profile     profiles/FRCoreAppointmentProfile.fsh
FRCoreAssemblyOrderExtension                                        Extension   extensions/FRCoreAssemblyOrderExtension.fsh
FRCoreCodeSystemCirconstancesSortie                                 CodeSystem  codesystems/FRCoreCodeSystemCirconstancesSortie.fsh
FRCoreCodeSystemContactRelationship                                 CodeSystem  codesystems/FRCoreCodeSystemContactRelationship.fsh
FRCoreCodeSystemIdentifierType                                      CodeSystem  codesystems/FRCoreCodeSystemIdentifierType.fsh
FRCoreCodeSystemIdentityMethodCollection                            CodeSystem  codesystems/FRCoreCodeSystemIdentityMethodCollection.fsh
FRCoreCodeSystemLocationIdentifierType                              CodeSystem  codesystems/FRCoreCodeSystemLocationIdentifierType.fsh
FRCoreCodeSystemLocationPhysicalType                                CodeSystem  codesystems/FRCoreCodeSystemLocationPhysicalType.fsh
FRCoreCodeSystemLocationPositionRoom                                CodeSystem  codesystems/FRCoreCodeSystemLocationPositionRoom.fsh
FRCoreCodeSystemLocationType                                        CodeSystem  codesystems/FRCoreCodeSystemLocationType.fsh
FRCoreCodeSystemModeValidationIdentite                              CodeSystem  codesystems/FRCoreCodeSystemModeValidationIdentite.fsh
FRCoreCodeSystemReliabilityIdentity                                 CodeSystem  codesystems/FRCoreCodeSystemReliabilityIdentity.fsh
FRCoreCodeSystemScheduleType                                        CodeSystem  codesystems/FRCoreCodeSystemScheduleType.fsh
FRCoreCodeSystemTypeAdmission                                       CodeSystem  codesystems/FRCoreCodeSystemTypeAdmission.fsh
FRCoreCodeSystemTypesOrganisations                                  CodeSystem  codesystems/FRCoreCodeSystemTypesOrganisations.fsh
FRCoreCodeSystemv2-0203                                             CodeSystem  codesystems/FRCoreCodeSystemv2-0203.fsh
FRCoreCodeSystemv2-3311                                             CodeSystem  codesystems/FRCoreCodeSystemv2-3311.fsh
FRCoreCommentExtension                                              Extension   extensions/FRCoreCommentExtension.fsh
FRCoreContactPointEmailTypeExtension                                Extension   extensions/FRCoreContactPointEmailTypeExtension.fsh
FRCoreContactPointProfile                                           Profile     profiles/FRCoreContactPointProfile.fsh
FRCoreEncounterEstimatedDischargeDateExtension                      Extension   extensions/FRCoreEncounterEstimatedDischargeDateExtension.fsh
FRCoreEncounterProfile                                              Profile     profiles/FRCoreEncounterProfile.fsh
FRCoreHealthcareServiceProfile                                      Profile     profiles/FRCoreHealthcareServiceProfile.fsh
FRCoreHumanNameProfile                                              Profile     profiles/FRCoreHumanNameProfile.fsh
FRCoreLocationPartOfPositionRoomExtension                           Extension   extensions/FRCoreLocationPartOfPositionRoomExtension.fsh
FRCoreLocationProfile                                               Profile     profiles/FRCoreLocationProfile.fsh
FRCoreLunarDateExtension                                            Extension   extensions/FRCoreLunarDateExtension.fsh
FRCoreMedicationAdministrationInhaledOxygenProfile                  Profile     profiles/FRCoreMedicationAdministrationInhaledOxygenProfile.fsh
FRCoreNationalityExtension                                          Extension   extensions/FRCoreNationalityExtension.fsh
FRCoreObservationBmiProfile                                         Profile     profiles/FRCoreObservationBmiProfile.fsh
FRCoreObservationBodyHeightProfile                                  Profile     profiles/FRCoreObservationBodyHeightProfile.fsh
FRCoreObservationBodyPositionExtExtension                           Extension   extensions/FRCoreObservationBodyPositionExtExtension.fsh
FRCoreObservationBodyTemperatureProfile                             Profile     profiles/FRCoreObservationBodyTemperatureProfile.fsh
FRCoreObservationBodyWeightProfile                                  Profile     profiles/FRCoreObservationBodyWeightProfile.fsh
FRCoreObservationBpProfile                                          Profile     profiles/FRCoreObservationBpProfile.fsh
FRCoreObservationHeadCircumProfile                                  Profile     profiles/FRCoreObservationHeadCircumProfile.fsh
FRCoreObservationHeartRateProfile                                   Profile     profiles/FRCoreObservationHeartRateProfile.fsh
FRCoreObservationHeightBodyPositionExtension                        Extension   extensions/FRCoreObservationHeightBodyPositionExtension.fsh
FRCoreObservationLevelOfExertionExtension                           Extension   extensions/FRCoreObservationLevelOfExertionExtension.fsh
FRCoreObservationOxygenSaturationProfile                            Profile     profiles/FRCoreObservationOxygenSaturationProfile.fsh
