Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	70835	-	0	0	0	0	0	0	14	73	0	0	0	0	0	0	0	1	0	0	26	206	1073	0	0	0	6	0	3
fsh-generated/resources/Appointment-FRCoreAppointmentExample.json	1777	3	0	0	1	0	0	0	1	564	0	0	0	0	0	0	0	0	0	0	10	59	49	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-champ-activite.json	1587	1	0	0	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0	5	14	80	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-circonstances-sortie.json	2181	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	15	64	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-code-tarif-tnjp.json	6271	2	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	5	27	80	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-contact-relationship.json	9030	2	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	7	44	89	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-fr-core-cs-discipline-equipement.json	21017	2	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	5	91	130	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-discipline-prestation.json	43990	5	0	0	0	0	0	0	3	31	0	0	0	0	0	0	0	0	0	0	8	163	191	0	0	0	6	0	1
fsh-generated/resources/CodeSystem-fr-core-cs-fiabilite-identite.json	3421	1	0	0	0	0	0	0	1	4	0	0	1	0	1	0	0	0	0	0	4	38	52	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-identifier-type.json	748	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	3	10	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-identifier-type.json	1157	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	11	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-physical-type.json	1711	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	12	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-position-lit.json	842	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	9	36	0	0	0	0	0	0
