URL,Version,Status,OIDs,Name,Title,Description,Used
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-champ-activite,2.2.0,draft,,FRCoreCodeSystemChampActivite,FR Core CodeSystem Champ Activite - Codes du champ d'activité,"Champ d'activité clinique de l'organisation type UF, tel que cité dans les fiches pratiques de comptabilité analytique hospitalière, de la DGOS.","ValueSet/fr-core-vs-organization-champ-activite"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-circonstances-sortie,2.2.0,draft,,FRCoreCodeSystemCirconstancesSortie,FR Core CodeSystem Circonstances Sortie,"Discharge Disposition","ValueSet/fr-core-vs-encounter-discharge-disposition"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-code-tarif-tnjp,2.2.0,draft,,FRCoreCodeSystemCodeTarifTNJP,FR Core CodeSystem Codes Tarifs - nomenclature TNJP,"La nomenclature des codes Tarif - Tarifs Nationaux Journaliers des Prestations","ValueSet/fr-core-vs-oragnization-code-tarif-tnjp"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-contact-relationship,2.2.0,draft,,FRCoreCodeSystemContactRelationship,FR Core CodeSystem Contact Relationship,"Relationship type","ValueSet/fr-core-vs-contact-relationship"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-discipline-equipement,2.2.0,draft,,FRCoreCodeSystemDisciplineEquipement,FR Core CodeSystem Discipline d'Equipement - nomenclature SAE,"La nomenclature de disciplines d'équipement est utilisée pour ventiler l'activité et le personnel entre les différentes disciplines de la section hôpital (MCO, PSY, HAD, SMR et SLD) et la discipline 'administration, services hôteliers et techniques'. La nomenclature des disciplines d’équipement s’applique aux unités fonctionnelles et aux sections issues du fichier de structure des établissements. Les disciplines sociales, médico-sociales et de formation n'apparaissent pas, car elles ne font pas partie du champ de la SAE.","ValueSet/fr-core-vs-organization-discipline-equipement"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-discipline-prestation,2.2.0,draft,,FRCoreCodeSystemDisciplinePrestation,FR Core CodeSystem Discipline de prestation - nomenclature SAE,"La nomenclature des discipline de prestation.","ValueSet/fr-core-vs-discipline-prestation"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-fiabilite-identite,2.2.0,active,"2.16.840.1.113883.12.445",FRCoreCodeSystemReliabilityIdentity,FR Core CodeSystem Fiabilité Identité,"French Identity reliabilty codes",
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-identifier-type,2.2.0,draft,,FRCoreCodeSystemIdentifierType,FR Core CodeSystem Identifier Type,"Identifier type","ValueSet/fr-core-vs-encounter-identifier-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-location-identifier-type,2.2.0,draft,,FRCoreCodeSystemLocationIdentifierType,FR Core CodeSystem Location Identifier Type,"Location identifier type",
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-location-physical-type,2.2.0,draft,,FRCoreCodeSystemLocationPhysicalType,FR Core CodeSystem Location Physical Type,"Location physical type",
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-location-position-lit,2.2.0,active,,FRCoreCodeSystemPositionLit,FR Core CodeSystem Position du lit,"Position du lit dans la chambre","ValueSet/fr-core-vs-location-position-lit"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-location-type,2.2.0,active,,FRCoreCodeSystemLocationType,FR Core CodeSystem Location Type,"Location type","ValueSet/fr-core-vs-location-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-location-type-chambre,2.2.0,active,,FRCoreCodeSystemTypeChambre,FR Core CodeSystem Type Chambre,"Type de chambre","ValueSet/fr-core-vs-location-type-chambre"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-marital-status,2.2.0,draft,,FRCoreCodeSystemMaritalStatus,FR Core CodeSystem Marital Status,"Marital status","ValueSet/fr-core-vs-marital-status"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-method-collection,2.2.0,active,,FRCoreCodeSystemMethodCollection,FR Core CodeSystem Mode Validation Identite,"Méthode de collection de l'identité","ValueSet/fr-core-vs-identity-method-collection"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-mode-validation-identity,2.2.0,active,,FRCoreCodeSystemModeValidationIdentite,FR Core CodeSystem Mode Validation Identite,"Mode de validation de l'identité","ValueSet/fr-core-vs-mode-validation-identity,ValueSet/fr-core-vs-mode-validation-identity-ins"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-patient-contact-relationship-category,2.2.0,active,,FRCoreCodeSystemPatientContactRelationshipCategory,FR Core CodeSystem Patient Contact Relationship Category,"Catégorie de la relation du contact patient : rôle ou type de relation","ValueSet/fr-core-vs-patient-contact-relationship-category"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-schedule-type,2.2.0,draft,,FRCoreCodeSystemScheduleType,FR Core CodeSystem Schedule Type,"Schedule type","ValueSet/fr-core-vs-schedule-type,ValueSet/fr-core-vs-schedule-unavailability-reason"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-type-activite,2.2.0,draft,,FRCoreCodeSystemTypeActivite,FR Core CodeSystem Type d'activité - nomenclature SAE,"La nomenclature des types d'activité de la terminologie SAE (Statistique Annuelle des Etablissements de santé) maintenue par la DREES.","ValueSet/fr-core-vs-oragnization-type-activite"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-type-admission,2.2.0,draft,,FRCoreCodeSystemTypeAdmission,FR Core CodeSystem Type Admission,"Admission type","ValueSet/fr-core-vs-encounter-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-type-organisation,2.2.0,draft,,FRCoreCodeSystemTypesOrganisations,FR Core CodeSystem Organization Type,"Organization type",
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-uf-indicateur,2.2.0,draft,,FRCoreCodeSystemUFIndicateur,FR Core CodeSystem UF Indicator - indicateur d'une unité fonctionnelle,"Système de codage permettant de définir les indicateurs d'une unité fonctionnelle.","ValueSet/fr-core-vs-organization-uf-indicateur"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-v2-0203,2.2.0,active,,FRCoreCodeSystemv2_0203,FR Core CodeSystem v2-0203,"HL7 v2 - Identifier type","ValueSet/fr-core-vs-practitioner-identifier-type,ValueSet/fr-core-vs-organization-identifier-type,ValueSet/fr-core-vs-patient-identifier-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-v2-0445,2.2.0,draft,,FRCoreCodeSystemv2_0445,FR Core CodeSystem v2-0445,"HL7 v2 - Table 0445","ValueSet/fr-core-vs-identity-reliability"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-v2-3307,2.2.0,draft,,FRCoreCodeSystemv2_3307,FR Core CodeSystem v2-3307,"HL7 v2 - Table 3307","ValueSet/fr-core-vs-organization-type,ValueSet/fr-core-vs-organization-etablissement-type"
https://hl7.fr/ig/fhir/core/CodeSystem/fr-core-cs-v2-3311,2.2.0,draft,,FRCoreCodeSystemv2_3311,FR Core CodeSystem v2-3311,"HL7 v2 - Table 3311",
