Fragment,Count,Time (ms),Size (bytes)
CodeSystem.changes,78,0,0
CodeSystem.content,78,54,479919
CodeSystem.nsinfo,78,117,0
CodeSystem.summary,78,39,87502
CodeSystem.summary-table,78,17,87502
CodeSystem.xref,78,33,12427
Cross.canonical-index,2,0,66076
Cross.codesystem-list,2,1,15552
Cross.codesystem-ref-all-list,2,12,126268
Cross.codesystem-ref-list,2,7,82675
Cross.cross-version-analysis,2,0,638
Cross.cross-version-analysis-inline,2,0,620
Cross.deleted-extensions,2,0,24
Cross.dependency-table,2,12405,119654
Cross.dependency-table-nontech,2,2604,21866
Cross.dependency-table-short,2,788,56026
Cross.deprecated-list,2,1,56
Cross.expansion-params,2,0,492
Cross.extension-list,2,4,51678
Cross.extension-list-,418,67,744238
Cross.extension-search,70,0,1330
Cross.extension-search-list,302,3,5738
Cross.globals-table,2,0,128
Cross.ip-statements,2,70,67994
Cross.list-accounts,2,0,0
Cross.list-accounts-json,2,2,0
Cross.list-accounts-xml,2,3,0
Cross.list-activitydefinitions,2,0,0
Cross.list-activitydefinitions-json,2,1,0
Cross.list-activitydefinitions-xml,2,2,0
Cross.list-actordefinitions,2,0,0
Cross.list-actordefinitions-json,2,0,0
Cross.list-actordefinitions-xml,2,1,0
Cross.list-adverseevents,2,0,0
Cross.list-adverseevents-json,2,2,0
Cross.list-adverseevents-xml,2,2,0
Cross.list-allergyintolerances,2,0,0
Cross.list-allergyintolerances-json,2,1,0
Cross.list-allergyintolerances-xml,2,1,0
Cross.list-appointmentresponses,2,0,0
Cross.list-appointmentresponses-json,2,0,0
Cross.list-appointmentresponses-xml,2,2,0
Cross.list-appointments,2,0,426
Cross.list-appointments-json,2,2,436
Cross.list-appointments-xml,2,3,434
Cross.list-auditevents,2,0,0
Cross.list-auditevents-json,2,0,0
Cross.list-auditevents-xml,2,2,0
Cross.list-basics,2,0,0
Cross.list-basics-json,2,2,0
Cross.list-basics-xml,2,2,0
Cross.list-binaries,2,0,0
Cross.list-binaries-json,2,1,0
Cross.list-binaries-xml,2,1,0
Cross.list-biologicallyderivedproducts,2,0,0
Cross.list-biologicallyderivedproducts-json,2,0,0
Cross.list-biologicallyderivedproducts-xml,2,2,0
Cross.list-bodystructures,2,0,0
Cross.list-bodystructures-json,2,0,0
Cross.list-bodystructures-xml,2,1,0
Cross.list-bundles,2,0,0
Cross.list-bundles-json,2,1,0
Cross.list-bundles-xml,2,2,0
Cross.list-byid-accounts,2,0,0
Cross.list-byid-accounts-json,2,2,0
Cross.list-byid-accounts-xml,2,2,0
Cross.list-byid-activitydefinitions,2,0,0
Cross.list-byid-activitydefinitions-json,2,1,0
Cross.list-byid-activitydefinitions-xml,2,2,0
Cross.list-byid-actordefinitions,2,0,0
Cross.list-byid-actordefinitions-json,2,1,0
Cross.list-byid-actordefinitions-xml,2,2,0
Cross.list-byid-adverseevents,2,0,0
Cross.list-byid-adverseevents-json,2,2,0
Cross.list-byid-adverseevents-xml,2,2,0
