Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	72894	-	0	0	0	0	0	0	11	51	0	0	0	0	0	0	0	1	0	0	24	262	606	0	0	0	7	0	1
fsh-generated/resources/Appointment-FRCoreAppointmentExample.json	1777	3	0	0	1	0	0	0	0	393	0	0	0	0	0	0	0	0	0	0	8	16	31	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-champ-activite.json	1587	1	0	0	0	0	0	0	1	6	0	0	1	0	0	0	0	1	0	0	8	15	73	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-circonstances-sortie.json	2181	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	20	61	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-code-tarif-tnjp.json	6271	1	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	8	41	64	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-contact-relationship.json	9030	2	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	7	62	78	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-fr-core-cs-discipline-equipement.json	21017	1	0	0	1	0	0	0	2	79	0	0	1	0	0	0	0	0	0	0	7	111	176	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-discipline-prestation.json	43990	3	0	0	0	0	0	0	2	27	0	0	0	0	0	0	0	0	0	0	9	208	192	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-fiabilite-identite.json	3421	1	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	4	26	57	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-identifier-type.json	748	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	3	11	44	0	0	0	0	0	0
