Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	64397	-	0	0	0	0	0	0	23	55	0	0	0	0	0	0	0	1	0	0	47	219	358	0	0	0	14	0	2
fsh-generated/resources/Appointment-FRCoreAppointmentExample.json	1771	10	0	0	0	0	0	0	1	633	0	0	0	0	0	0	0	0	0	0	8	15	24	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-champ-activite.json	1587	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	7	15	399	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-circonstances-sortie.json	2181	5	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	7	15	70	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-code-tarif-tnjp.json	6271	3	0	0	1	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	8	37	71	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-contact-relationship.json	9030	4	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	8	46	79	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-discipline-equipement.json	21019	9	0	0	0	0	0	0	3	18	0	0	0	0	0	0	0	1	0	0	10	68	98	0	0	0	16	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-discipline-prestation.json	43990	8	0	0	0	0	0	0	6	42	0	0	1	0	0	0	0	0	0	0	12	138	141	0	0	0	13	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-fiabilite-identite.json	3421	3	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	1	0	0	6	18	32	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-identifier-type.json	748	3	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	11	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-identifier-type.json	1157	3	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	5	14	26	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-physical-type.json	1711	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	4	14	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-position-lit.json	811	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	11	25	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-type-chambre.json	894	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	11	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-type.json	1743	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	4	14	51	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-marital-status.json	622	3	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	5	10	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-method-collection.json	1101	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	12	25	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-mode-validation-identity.json	2210	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	5	18	32	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-schedule-type.json	760	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	4	11	24	0	0	0	0	0	0
