Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	46874	-	0	0	0	0	0	0	4	78	0	0	0	0	0	0	0	2	0	0	270	283	0	0	0	15	0	1
fsh-generated/resources/Appointment-FRCoreAppointmentExample.json	1941	20	0	0	0	0	0	0	0	447	0	0	0	0	0	0	0	0	0	0	17	25	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-circonstances-sortie.json	1549	18	1	0	0	0	0	0	1	35	0	0	0	0	0	0	0	0	0	0	19	2452	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-fr-core-cs-contact-relationship.json	6081	22	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	50	129	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-fiabilite-identite.json	2428	19	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	24	66	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-identifier-type.json	650	18	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	15	54	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-identifier-type.json	920	17	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	14	58	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-physical-type.json	1296	17	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	24	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-position-room.json	761	17	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	16	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-type.json	1376	18	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	1	0	0	20	39	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-marital-status.json	572	17	1	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	13	33	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-method-collection.json	891	17	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	15	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-mode-validation-identity.json	1287	17	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	24	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-schedule-type.json	659	17	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	20	32	0	0	0	1	0	0
