Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	64397	-	0	0	0	0	0	0	24	57	0	0	0	0	0	0	0	1	0	0	34	221	366	0	0	0	22	0	1
fsh-generated/resources/Appointment-FRCoreAppointmentExample.json	1771	5	0	0	1	0	0	0	0	654	0	0	0	0	0	0	0	0	0	0	7	15	22	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-champ-activite.json	1587	3	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	7	20	430	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-circonstances-sortie.json	2181	4	0	0	0	0	0	0	1	12	0	0	1	0	0	0	0	0	0	0	8	16	66	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-code-tarif-tnjp.json	6271	3	0	0	0	0	0	0	1	14	0	0	0	0	0	0	0	1	0	0	8	42	73	0	0	0	11	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-contact-relationship.json	9030	4	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	9	54	88	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-discipline-equipement.json	21019	5	0	0	1	0	0	0	3	19	0	0	0	0	0	0	0	0	0	0	12	72	120	0	0	0	7	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-discipline-prestation.json	43990	12	0	0	0	0	0	0	6	45	0	0	1	0	0	0	0	1	0	0	16	146	110	0	0	0	15	0	1
fsh-generated/resources/CodeSystem-fr-core-cs-fiabilite-identite.json	3421	6	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	8	25	33	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-identifier-type.json	748	6	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	7	12	33	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-identifier-type.json	1157	6	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	8	12	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-physical-type.json	1711	6	0	0	1	0	0	0	1	11	0	0	1	0	0	0	0	0	0	0	6	24	31	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-position-lit.json	811	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	14	26	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-type-chambre.json	894	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	5	13	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-type.json	1743	6	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	6	19	27	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-marital-status.json	622	6	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	5	12	26	0	0	0	0	0	0
