Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	64397	-	0	0	0	0	0	0	26	66	0	0	0	0	0	0	0	2	0	0	40	232	392	0	0	0	12	0	2
fsh-generated/resources/Appointment-FRCoreAppointmentExample.json	1771	8	0	0	1	0	0	0	0	667	0	0	0	0	0	0	0	0	0	0	7	13	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-champ-activite.json	1587	8	0	0	0	0	0	0	1	15	0	0	1	0	0	0	0	0	0	0	8	15	490	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-circonstances-sortie.json	2181	6	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	0	0	8	15	64	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-code-tarif-tnjp.json	6271	3	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	8	32	75	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-contact-relationship.json	9030	4	0	0	1	0	0	0	2	10	0	0	1	0	0	0	0	0	0	0	9	51	92	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-discipline-equipement.json	21019	4	0	0	0	0	0	0	3	16	0	0	0	0	0	0	0	1	0	0	10	63	137	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-discipline-prestation.json	43990	6	0	0	0	0	0	0	7	33	0	0	1	0	0	0	0	0	0	0	12	125	158	0	0	0	9	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-fiabilite-identite.json	3421	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	6	18	47	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-identifier-type.json	748	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	13	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-identifier-type.json	1157	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5	15	28	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-physical-type.json	1711	3	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	5	15	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-position-lit.json	811	3	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	7	13	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-type-chambre.json	894	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	7	13	28	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-type.json	1743	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	14	28	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-marital-status.json	622	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	13	26	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-method-collection.json	1101	3	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	0	5	12	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-mode-validation-identity.json	2210	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	19	31	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-schedule-type.json	760	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	12	23	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-type-activite.json	6607	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	8	26	35	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-type-admission.json	809	3	0	0	0	0	0	0	1	7	0	0	1	0	0	0	0	0	0	0	8	17	25	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-fr-core-cs-type-organisation.json	2543	3	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	8	23	28	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-uf-indicateur.json	1386	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	1	0	7	19	26	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-0203.json	2983	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	25	29	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-0445.json	3176	3	0	0	0	0	0	0	1	8	0	0	1	0	0	0	0	0	0	0	8	27	27	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-3307.json	1585	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	20	27	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-3311.json	1435	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	8	15	24	0	0	0	0	0	0
fsh-generated/resources/Encounter-FRCoreEncounterExample.json	853	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	9	12	0	0	0	0	0	0
fsh-generated/resources/HealthcareService-svc-cardiologie-1.json	2466	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	7	15	17	0	0	0	0	0	0
fsh-generated/resources/Location-hopitaltest-endocrino-ch04-litF.json	947	3	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	7	9	21	0	0	0	0	0	0
fsh-generated/resources/Location-hopitaltest-endocrino-ch04.json	561	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	9	11	0	0	0	0	0	0
fsh-generated/resources/Location-hopitaltest-salle-examen-01.json	664	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	8	10	0	0	0	0	0	0
fsh-generated/resources/Location-loc-radiologie-z.json	1016	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7	9	13	0	0	0	0	0	0
