Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.fr.core.json	46962	-	0	0	0	0	0	0	8	385	0	0	0	0	0	0	0	1	0	0	196	235	0	0	0	8	0	1
fsh-generated/resources/Appointment-FRCoreAppointmentExample.json	1941	19	0	0	0	0	0	0	0	411	0	0	0	0	0	0	0	0	0	0	17	22	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-circonstances-sortie.json	1549	20	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	16	2214	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-contact-relationship.json	6081	26	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	1	0	0	34	122	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-fiabilite-identite.json	2428	21	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	17	102	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-identifier-type.json	650	20	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	51	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-identifier-type.json	920	19	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	48	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-physical-type.json	1296	19	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	16	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-position-room.json	761	20	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	38	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-location-type.json	1376	19	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	40	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-marital-status.json	572	20	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	13	37	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-method-collection.json	891	19	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	20	44	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-mode-validation-identity.json	1287	20	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	22	35	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-schedule-type.json	659	19	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	36	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-type-admission.json	678	19	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-type-organisation.json	1902	19	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	22	47	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-0203.json	2008	19	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	19	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-0445.json	2148	19	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	18	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-3307.json	1784	20	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	19	51	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-fr-core-cs-v2-3311.json	984	19	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	45	0	0	0	0	0	0
fsh-generated/resources/Encounter-FRCoreEncounterExample.json	865	19	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	11	20	0	0	0	0	0	0
fsh-generated/resources/Observation-FRCoreObservationBMIExample.json	1165	21	0	0	0	0	0	0	0	371	0	0	0	0	0	0	0	0	0	0	12	22	0	0	0	0	0	0
fsh-generated/resources/Observation-FRCoreObservationBPExample.json	2641	20	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	0	12	18	0	0	0	0	0	0
fsh-generated/resources/Observation-FRCoreObservationBodyHeightExample.json	925	19	0	0	0	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	0	0	0
fsh-generated/resources/Observation-FRCoreObservationBodyTemperatureExample.json	959	20	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	0	0	0
fsh-generated/resources/Observation-FRCoreObservationBodyWeightExample.json	1124	19	0	0	0	0	0	0	1	357	0	0	0	0	0	0	0	0	0	0	10	16	0	0	1	0	0	0
fsh-generated/resources/Observation-FRCoreObservationHeadCircumExample.json	947	19	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	0	0	0
fsh-generated/resources/Observation-FRCoreObservationHeartRateExample.json	961	22	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	9	17	0	0	0	0	0	0
fsh-generated/resources/Patient-ExampleFRCorePatient001.json	2383	19	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	24	0	0	0	0	0	1
fsh-generated/resources/Schedule-FRCoreScheduleExample.json	2365	20	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	20	0	0	0	0	0	0
fsh-generated/resources/Slot-FRCoreSlotExample.json	965	19	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	18	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-fr-core-address-insee-code.json	1741	19	0	38	0	0	0	0	0	23	0	0	1	0	0	0	0	0	0	0	37	570	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-address.json	1557	20	0	36	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	53	484	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-appointment-operator.json	2597	23	0	26	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	49	338	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-appointment.json	3887	20	0	571	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	126	642	0	0	0	7	0	2
fsh-generated/resources/StructureDefinition-fr-core-comment.json	1701	19	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	31	132	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-contact-point-email-type.json	1771	20	0	4	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	34	126	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-contact-point.json	1136	19	0	5	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	41	171	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-fr-core-encounter.json	12229	20	0	67	0	0	0	0	1	42	0	0	0	0	0	0	0	2	0	0	279	761	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-fr-core-estimated-discharge-date.json	1475	20	0	8	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	31	89	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-fr-core-healthcare-service.json	4244	19	0	23	0	0	1	0	0	15	0	0	0	0	0	0	0	1	0	0	152	377	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-fr-core-human-name-assembly-order.json	1982	27	0	9	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	35	93	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-human-name.json	2118	28	0	9	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	49	125	0	0	0	4	1	0
fsh-generated/resources/StructureDefinition-fr-core-identity-reliability.json	6580	30	0	14	1	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	112	185	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fr-core-location-position-room.json	1612	18	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	33	82	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-location.json	5301	20	0	21	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	159	323	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-fr-core-lunar-date.json	1524	20	0	9	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	36	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-medication-administration-inhaled-oxygen.json	3537	21	0	44	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	138	330	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-bmi.json	3799	20	0	68	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	229	1626	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-height.json	4627	20	0	75	0	0	0	0	0	260	0	0	1	0	0	0	0	2	0	0	213	688	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-fr-core-observation-body-position-ext.json	2224	29	0	10	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	33	78	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-fr-core-observation-body-temperature.json	4506	20	0	68	0	0	0	0	0	221	0	0	0	0	0	0	0	1	0	0	211	547	0	0	0	8	0	0
